cncpt,sus_activ,forma_farma,cntcn,prese,medicamento_sk
CLONAZEPAM,CLONAZEPAM,Comprimido,2mg,CJA C/30 COMP,1
FLUOXETINA,FLUOXETINA,Tableta,20mg,CJA C/20 TABS,2
FLUOXETINA,FLUOXETINA,Tableta,20mg,CJA C/40 TABS,3
VENLAFAXINA,VENLAFAXINA,CÃ¡psula,75mg,CJA C/20 CAPS,4
ESCITALOPRAM,ESCITALOPRAM,Tableta,10 mg,CJA C/28 TABS,5
HALOPERIDOL SOL. INYECTABLE,HALOPERIDOL SOL. INYECTABLE,Ampolleta,5 mg/mL,AMP PZA,6
OLANZAPINA,OLANZAPINA,Tableta,10mg,CJA/14TABS,7
DOMPERIDONA,DOMPERIDONA,Tableta,10 mg,30 tabletas,8
METFORMINA,METFORMINA,Tableta,850mg,CJA C/30 TABS,9
METOPROLOL,METOPROLOL,Tableta,100mg,CJA C/20 TABS,10
CLINDAMICINA,CLINDAMICINA,CÃ¡psula,300mg,CJA C/16 CAPS,11
PREGABALINA,PREGABALINA,CÃ¡psula,75mg,CJA C/28 CAPS,12
IBUPROFENO,IBUPROFENO,CÃ¡psula,400 mg,CJA C/10 CAPS,13
CLONAZEPAM TABLETAS,CLONAZEPAM TABLETAS,Tableta,2mg,CJA C/30 TABS,14
FLUOXETINA,FLUOXETINA,Tableta,20 mg,CJA C/28 TABS,15
SERTRALINA,SERTRALINA,Tableta,50mg,CJA C/28 TABS,16
LACTULOSA,LACTULOSA,Frasco,66.66g/100ml,FCO C/125ml,17
SERTRALINA,SERTRALINA,Tableta,50mg,CJA C/14 TABS,18
PALIPERIDONA,PALIPERIDONA,Microjeringa,100mg,CJA C/ 1 MICROJERINGA,19
PALIPERIDONA,PALIPERIDONA,Jeringa,150 mg,CJA/1 JERINGA PRELLENADA,20
PARACETAMOL,PARACETAMOL,Tableta,500mg,CJA C/10 TABS,21
QUETIAPINA,QUETIAPINA,Tableta,25 mg,CJA C/30 TABS,22
LORAZEPAM,LORAZEPAM,Tableta,1mg,CJA C/40 TABS,23
CLONAZEPAM,CLONAZEPAM,Frasco,2.5mg,FCO C/10ml,24
DESVENLAFAXINA,DESVENLAFAXINA,Tableta,100mg,CJA/28 TABS,25
VENLAFAXINA,VENLAFAXINA,CÃ¡psula,75mg,CJA C/10 CAPSULAS,26
QUETIAPINA,QUETIAPINA,Tableta,300mg,CJA C/30 TABS,27
HALOPERIDOL TABLETAS,HALOPERIDOL TABLETAS,Tableta,5 mg,CJA C/20 TABS,28
QUETIAPINA,QUETIAPINA,Tableta,100mg,CJA C/60 TABS,29
