tiempo_sk,medicamento_sk,proveedor_sk,institucion_sk,contratacion_sk,canti,prcio_unit,total,target_costo_alto
1,1,1,1,1,1.0,772.8,772.8,1
1,2,1,1,1,1.0,411.26,411.26,0
1,3,1,1,1,1.0,35.0,35.0,0
1,4,1,1,1,1.0,90.0,90.0,0
1,5,1,1,1,1.0,100.0,100.0,0
1,6,1,1,1,1.0,108.78,108.78,0
1,6,1,1,1,5.0,108.78,543.9,1
1,7,1,1,1,1.0,70.0,70.0,0
1,8,1,1,1,1.0,525.44,525.44,1
1,9,1,1,1,1.0,35.0,35.0,0
1,10,1,1,1,1.0,20.0,20.0,0
1,11,1,1,1,1.0,65.0,65.0,0
1,12,1,1,1,1.0,85.0,85.0,0
1,13,1,1,1,1.0,30.0,30.0,0
1,13,1,1,1,1.0,30.0,30.0,0
2,14,2,2,2,1200.0,8.02,9624.0,1
2,15,1,1,1,1.0,100.0,100.0,0
2,4,1,1,1,1.0,90.0,90.0,0
2,16,1,1,1,1.0,115.0,115.0,0
2,8,1,1,1,1.0,525.44,525.44,1
2,11,1,1,1,1.0,65.0,65.0,0
2,17,1,1,1,1.0,277.5,277.5,0
2,12,1,1,1,1.0,85.0,85.0,0
2,12,1,1,1,1.0,85.0,85.0,0
2,13,1,1,1,1.0,30.0,30.0,0
2,13,1,1,1,1.0,30.0,30.0,0
2,13,1,1,1,1.0,30.0,30.0,0
3,18,3,2,2,4000.0,8.25,33000.0,1
3,19,4,2,3,200.0,2546.4,509280.0,1
3,20,4,2,3,200.0,2546.4,509280.0,1
3,21,1,1,1,1.0,15.0,15.0,0
3,11,1,1,1,1.0,65.0,65.0,0
3,13,1,1,1,1.0,30.0,30.0,0
4,22,5,2,3,200.0,85.0,17000.0,1
4,23,1,1,1,1.0,528.62,528.62,1
4,24,1,1,1,1.0,228.6,228.6,0
4,25,1,1,1,1.0,1956.46,1956.46,1
4,26,1,1,1,1.0,90.0,90.0,0
4,15,1,1,1,1.0,100.0,100.0,0
4,15,1,1,1,1.0,100.0,100.0,0
4,16,1,1,1,1.0,115.0,115.0,0
4,27,1,1,1,1.0,2219.13,2219.13,1
4,28,1,1,1,1.0,80.0,80.0,0
4,7,1,1,1,1.0,70.0,70.0,0
4,29,1,1,1,1.0,180.0,180.0,0
4,21,1,1,1,1.0,15.0,15.0,0
4,30,1,1,1,1.0,272.45,272.45,0
4,31,1,1,1,1.0,85.0,85.0,0
4,32,1,1,1,1.0,600.0,600.0,1
4,33,1,1,1,1.0,55.0,55.0,0
4,34,1,1,1,5.0,5.0,25.0,0
5,1,1,1,1,1.0,772.8,772.8,1
5,16,1,1,1,2.0,115.0,230.0,0
5,35,1,1,1,1.0,130.0,130.0,0
5,35,1,1,1,1.0,130.0,130.0,0
5,21,1,1,1,1.0,15.0,15.0,0
5,36,1,1,1,1.0,50.0,50.0,0
5,12,1,1,1,2.0,85.0,170.0,0
5,34,1,1,1,2.0,7.0,14.0,0
6,15,1,1,1,1.0,100.0,100.0,0
6,4,1,1,1,1.0,90.0,90.0,0
6,7,1,1,1,1.0,70.0,70.0,0
6,21,1,1,1,1.0,15.0,15.0,0
7,23,1,1,1,1.0,442.86,442.86,0
7,15,1,1,1,1.0,100.0,100.0,0
7,7,1,1,1,1.0,70.0,70.0,0
7,29,1,1,1,1.0,180.0,180.0,0
7,8,1,1,1,1.0,525.44,525.44,1
7,34,1,1,1,1.0,7.0,7.0,0
8,1,1,1,1,1.0,772.8,772.8,1
8,15,1,1,1,1.0,100.0,100.0,0
8,4,1,1,1,1.0,90.0,90.0,0
8,4,1,1,1,1.0,90.0,90.0,0
8,37,1,1,1,1.0,380.0,380.0,0
8,38,1,1,1,1.0,400.11,400.11,0
8,38,1,1,1,1.0,293.45,293.45,0
8,39,1,1,1,1.0,1121.67,1121.67,1
8,8,1,1,1,1.0,525.44,525.44,1
8,40,1,1,1,1.0,35.0,35.0,0
