tiempo_sk,medicamento_sk,proveedor_sk,institucion_sk,contratacion_sk,canti,prcio_unit,total,target_costo_alto
155,27,1,1,1,1.0,2219.13,2219.13,1
126,21,1,1,1,1.0,15.0,15.0,0
90,15,1,1,1,1.0,100.0,100.0,0
82,7,1,1,1,1.0,70.0,70.0,0
61,137,1,1,1,5.0,65.0,325.0,0
109,4,1,1,1,1.0,90.0,90.0,0
113,220,1,1,1,1.0,527.2,527.2,1
83,120,1,1,1,1.0,367.2,367.2,0
141,321,1,2,1,1.0,2056.52,2056.52,1
56,129,1,1,1,1.0,80.0,80.0,0
103,16,1,1,1,1.0,115.0,115.0,0
137,29,1,1,1,1.0,170.0,170.0,0
127,208,1,1,1,1.0,384.88,384.88,0
124,97,1,1,1,1.0,2100.62,2100.62,1
103,246,9,2,5,200.0,2546.0,509200.0,1
34,29,1,1,1,1.0,180.0,180.0,0
94,208,1,1,1,1.0,384.88,384.88,0
50,24,1,1,1,1.0,228.6,228.6,0
73,29,1,1,1,1.0,180.0,180.0,0
37,21,1,1,1,1.0,15.0,15.0,0
137,18,1,1,1,1.0,50.0,50.0,0
105,21,1,1,1,2.0,15.0,30.0,0
2,14,2,2,2,1200.0,8.02,9624.0,1
148,51,52,1,1,1.0,115.0,115.0,0
1,13,1,1,1,1.0,30.0,30.0,0
32,34,1,1,1,3.0,6.0,18.0,0
7,7,1,1,1,1.0,70.0,70.0,0
111,4,1,1,1,1.0,90.0,90.0,0
74,24,1,1,1,1.0,228.6,228.6,0
84,198,1,1,1,1.0,100.0,100.0,0
147,29,1,1,1,1.0,170.0,170.0,0
173,16,1,1,1,1.0,115.0,115.0,0
114,221,1,1,1,1.0,70.0,70.0,0
155,191,1,1,1,1.0,262.48,262.48,0
86,128,1,1,1,1.0,471.62,471.62,1
147,4,1,1,1,1.0,90.0,90.0,0
144,18,1,1,1,1.0,50.0,50.0,0
74,18,17,1,7,50.0,7.0,350.0,0
56,29,1,1,1,1.0,180.0,180.0,0
99,214,25,1,12,5.0,13.4,67.0,0
158,370,68,1,1,1.0,70.0,70.0,0
1,2,1,1,1,1.0,411.26,411.26,0
98,15,1,1,1,1.0,100.0,100.0,0
46,37,1,1,1,1.0,380.0,380.0,0
45,114,1,1,1,1.0,312.29,312.29,0
85,29,1,1,1,1.0,180.0,180.0,0
94,130,1,1,1,1.0,816.39,816.39,1
91,4,1,1,1,2.0,90.0,180.0,0
125,97,1,1,1,1.0,2100.62,2100.62,1
101,21,1,1,1,2.0,15.0,30.0,0
111,4,1,1,1,1.0,90.0,90.0,0
124,220,1,1,1,1.0,527.2,527.2,1
149,36,1,1,1,1.0,65.0,65.0,0
140,312,1,1,1,1.0,90.0,90.0,0
80,4,1,1,1,5.0,90.0,450.0,0
158,60,71,2,15,315.0,66.04,20802.6,1
45,15,1,1,1,1.0,100.0,100.0,0
25,49,1,1,1,1.0,40.0,40.0,0
18,21,1,1,1,1.0,15.0,15.0,0
111,22,1,1,1,1.0,130.0,130.0,0
110,150,11,1,14,4.0,11.0,44.0,0
89,29,1,1,1,1.0,180.0,180.0,0
180,121,1,1,1,1.0,1688.75,1688.75,1
24,73,1,1,1,1.0,97.97,97.97,0
163,105,1,1,1,1.0,1425.17,1425.17,1
71,120,1,1,1,1.0,367.2,367.2,0
174,16,1,1,1,2.0,115.0,230.0,0
111,4,1,1,1,1.0,90.0,90.0,0
106,220,1,1,1,1.0,228.6,228.6,0
55,21,1,1,1,1.0,15.0,15.0,0
27,52,1,1,1,1.0,382.8,382.8,0
141,317,1,1,1,1.0,425.36,425.36,0
82,29,1,1,1,1.0,180.0,180.0,0
126,120,1,1,1,1.0,367.2,367.2,0
33,94,1,1,1,1.0,90.67,90.67,0
165,356,74,1,15,1.0,86.63,86.63,0
